Year,Company/Brand,Sector,Stage,Amount($),HeadQuarter
2018,Drstore,Hospitality,Seed,17030531.594164457,Mumbai
2018,Wow Venue,Hospitality,Unknown,1500000.0,Mumbai
2018,Chizel,Technology,Seed,17030531.594164457,Pune
2018,OTO Capital,Transport,Seed,600000.0,Mumbai
2018,Boodmo,Transport,Seed,840000.0,Gurgaon
2018,Khabri,Technology,Seed,17030531.594164457,Haryana
2018,MyNewCar.in,Transport,Unknown,1000000.0,Gurgaon
2018,HalaPlay Technologies,Sports,Series A,5000000.0,Bengaluru
2018,PlanetSpark,Technology,Seed,192000.0,Gurgaon
2018,WheelsEMI,Agriculture,Series B,14000000.0,Pune
2018,Forum for Innovation Incubation Research and Entrepreneurship,Technology,Grant,1230000.0,Margão
2018,Quikr,Technology,Debt Financing,6600000.0,Bengaluru
2018,Tabono,Sports,Seed,17030531.594164457,Gurgaon
2018,LearnApp,Finance,Seed,240000.0,Noida
2018,Shopkirana,Technology,Unknown,2000000.0,Indore
2018,Fric Bergen,Agriculture,Unknown,17030531.594164457,Alwar
2018,Articbot,Technology,Grant,14400.0,Kannur
2018,BuildSupply,Technology,Series A,3000000.0,Gurgaon
2018,Any time Doctor,Technology,Angel,17030531.594164457,Chennai
2018,Go Payments,Technology,Later Stage,17030531.594164457,Mumbai
2018,Guiddoo World,Technology,Seed,800000.0,Mumbai
2018,ION Energy,Energy,Unknown,1041000.0,Mumbai
2018,UnoTag,Technology,Pre-Seed,100000.0,Bengaluru
2018,CivilCops,Technology,Pre-Seed,100000.0,Gurgaon
2018,Rockmetric,Technology,Grant,17030531.594164457,Mumbai
2018,Classworks India,Technology,Unknown,1200.0,Chennai
2018,Snapmint,Finance,Seed,17030531.594164457,Mumbai
2018,artbandhu,Technology,Pre-Seed,15000.0,Bengaluru
2018,Survaider,Technology,Seed,500000.0,Bengaluru
2018,Credy,Technology,Seed,1400000.0,Bengaluru
2018,iChamp,Education,Seed,5000000.0,Gurgaon
2018,Qandle,Technology,Seed,1200000.0,Gurgaon
2018,Avishkaar Box,Education,Seed,600000.0,Delhi
2018,Gegadyne Energy,Transport,Angel,17030531.594164457,Mumbai
2018,HyperXchange,Technology,Series A,1000000.0,Pune
2018,Deftouch,Agriculture,Seed,17030531.594164457,Bengaluru
2018,Doodhwala,Food & Beverages,Seed,2200000.0,Bengaluru
2018,DronaHQ,Technology,Angel,500000.0,Mumbai
2018,FastFox,Agriculture,Series A,1200000.0,Gurgaon
2018,BuyForexOnline,Hospitality,Unknown,2000000.0,Bengaluru
2018,Colive.in,Commerce,Seed,1800000.0,Bengaluru
2018,Agricxlab Private Limited,Commerce,Seed,500000.0,Thane
2018,Corefactors,Agriculture,Seed,17030531.594164457,Bengaluru
2018,Fincash.com,Finance,Seed,150000.0,Mumbai
2018,Pandorum Technologies,Technology,Series A,3600000.0,Bengaluru
2018,Shirsa Labs,Lifestyle,Seed,500000.0,Mumbai
2018,PetSutra,Agriculture,Seed,114000.0,Gurgaon
2018,Awaaz De,Technology,Angel,17030531.594164457,Ahmedabad
2018,PinkBlue,Business Intelligence,Seed,300000.0,Bengaluru
2018,Eduvanz,Finance,Angel,500000.0,Mumbai
2018,Rupeek,Finance,Series A,6830000.0,Bengaluru
2018,Backpacker Panda Holidays Private Limited,Hospitality,Series A,1400000.0,Pune
2018,Shape (School Health and Physical Education),Education,Seed,200000.0,Pune
2018,Placio,Hospitality,Seed,2000000.0,Noida
2018,Aviom India Housing Finance,Finance,Series A,1800000.0,New Delhi
2018,GenRobotic,Business Intelligence,Seed,17030531.594164457,Trivandrum
2018,HeyHolidays,Hospitality,Seed,1000000.0,Bengaluru
2018,Pratilipi,Technology,Series A,4300000.0,Bengaluru
2018,SectorQube,Technology,Seed,17030531.594164457,Ernakulam
2018,Food Memories,Food & Beverages,Seed,17030531.594164457,Ahmedabad
2018,ZAMROO,Technology,Seed,17030531.594164457,India
2018,Silversparro Technologies Pvt. Ltd,Technology,Seed,300000.0,Gurgaon
2018,Creator’s Gurukul,Commerce,Angel,17030531.594164457,Gurgaon
2018,Emflux Motors,Transport,Seed,364846.0,Bengaluru
2018,Tricog Health Services Pvt Ltd,Business Intelligence,Series A,4000000.0,Bengaluru
2018,Scapic,Technology,Seed,500000.0,Bengaluru
2018,6Degree,Lifestyle,Seed,400000.0,Mumbai
2018,Chrysalis (EZ Vidya),Education,Seed,17030531.594164457,Chennai
